title	country	year	genre	publisher	director	producer	episodes	actors	info	reception	awards
Night Has Come	South Korean	2023	Korean horror, Mystery fiction, Revenge drama, Slasher film, Thriller (genre)	U+ Mobile TV	Lim Dae Woong	Cinematography	12		Night Has Come () is a 2023 South Korean television series written by Kang Min-ji, directed by Lim Dae-woong, and starring Lee Jae-in, Kim Woo-seok, Choi Ye-bin, Cha Woo-min, Ahn Ji Ho, and Jung So-ri. It was released on U+ Mobile TV from December 4 to 21, 2023, and every Monday to Thursday. It is also available for streaming on Netflix in South Korea, and on Viu and Viki in selected regions.		
Category:Upcoming Philippine television series	Philippine								Category:Upcoming Philippine television series 14 76596346 1218556916 2024-04-12T12:24:34Z Hotwiki 584824 Creation 1218556916 wikitext text/x-wiki Philippine Category:Philippine television series m3oz35lam7t70fl8nugfxh19o0qazsi		
Category:Upcoming Chinese television series	Chinese								Category:Upcoming Chinese television series 14 76625973 1219133722 2024-04-15T23:36:10Z FrederickEvans 45934531 ←Created page with 'Chinese Category:Chinese television series' 1219133722 wikitext text/x-wiki Chinese Category:Chinese television series hvf592kawep73zupwzbb4373dgws1lz		
Lumuhod Ka Sa Lupa	Philippine	2024	Action drama	TV5	Albert S Langitan Roderick P Lindayag	Vincent Del Rosario Iii Valerie S Del Rosario Veronique Del Rosario Corpus	273		() is a Philippine television drama action series broadcast by TV5. Directed by Albert S. Langitan and Roderick P. Lindayag, it stars Kiko Estrada, Sarah Lahbati, Sid Lucero, Rhen Escaño and Gardo Versoza. The series is based on the 1986 film of the same title. It premiered on April 8, 2024, on the network's Hapon Champion line up. The series concluded on May 2, 2025, with a total of 273 episodes. It was replaced by Totoy Bato in its timeslot.		
Category:Television series by ABS-CBN Studios	Philippine								Category:Television series by ABS-CBN Studios 14 76652263 1236494399 1236137145 2024-07-25T01:23:14Z FrederickEvans 45934531 Change category 1236494399 wikitext text/x-wiki This category is for television series produced by ABS-CBN Studios, a division of ABS-CBN Corporation. Category:ABS-CBN Studios ABS-CBN Studios d2o103lzvoy5m2itcnfll93f0h5vx4q		
Category:Television series by Studio Viva	Philippine								Category:Television series by Studio Viva 14 76652393 1219467665 2024-04-17T23:15:49Z FrederickEvans 45934531 ←Created page with 'This category is for television series produced by Studio Viva, a subsidiary of Viva Entertainment. Studio Viva Category:Viva Entertainment' 1219467665 wikitext text/x-wiki This category is for television series produced by Studio Viva, a subsidiary of Viva Entertainment. Studio Viva Category:Viva Entertainment j242d4m611v49j4egbxfqrfix2nl030		
Category:Television series by TVJ Productions	Philippine								Category:Television series by TVJ Productions 14 76655480 1224400239 1219493007 2024-05-18T04:58:30Z 149.30.138.203 1224400239 wikitext text/x-wiki This category is for television series produced by TVJ Productions. TVJ Productions g52hbc0ezyeo1wcb5j2az81jt5penrj		
Cashero	South Korean								Cashero (TV series) 0 76665070 1278913970 1273725037 2025-03-05T11:26:54Z Muatsem90 39233586 Category 1278913970 wikitext text/x-wiki #REDIRECT List of Netflix original programming#Korean 2 Category:Korean-language television shows Category:Upcoming Netflix original programming Category:Upcoming South Korean television series Category:2025 South Korean television series debuts 1iqrl1g8yq97koerbuuy4xd9amc06m2		
DNA Lover	South Korean	2024	Romantic comedy	TV Chosun	Ill Sung Chi Wook Ko	Pl Baek Ji Soo, Ltref Name, Quotinfo, Quot, Gt Hong Seung Chul, Gt Park Kyung Soo, Gt Kim Hee Yeol, Gt	16		DNA Lover () is a 2024 South Korean romantic comedy television series written by Jung Soo-mi, directed by , and starring Jung In-sun, Choi Si-won, Lee Tae-hwan, and Jung Yoo-jin. It aired on TV Chosun from August 17, to October 6, 2024, every Saturday and Sunday at 21:10 (KST). It is also available for streaming on Viu and Viki in selected regions.		
High Street	Philippine	2024	Drama (film and television), Mystery film	A2Z, Jeepney TV, Kapamilya Channel, Kapamilya Online Live, TV5, [[Kapamilya Channel]]{{efn|The series was also aired on [[A2Z |A2Z]] {{small|, iWantTFC	Lino Cayetano Lino Cateyano	Rosselle Soldao Gannaban, Minelle Nielo Espiritu, Camille Rosales Navarro	80		High Street is a Philippine mystery drama television series that aired on Kapamilya Channel. The series is the sequel to Senior High. Directed by Onat A. Diaz, Lino S. Cayetano, Dolly Dulu, Rico Navarro and Ram Tolentino, it stars Andrea Brillantes, Juan Karlos Labajo, Zaijian Jaranilla, Xyriel Manabat, Elijah Canlas, Daniela Stranner, Miggy Jimenez, Tommy Alejandrino, Gela Atayde, Angel Aquino, Romnick Sarmenta and Dimples Romana. It premiered on May 13, 2024, on the network's Primetime Bida li...	High Street opened with 223,053 concurrent live viewers on YouTube, streamed through Kapamilya Online Live.&lt;ref&gt;&lt;/ref&gt; According to Nielsen NUTAM People Survey, the pilot episode of the series garnered 4.8% nationwide ratings.&lt;ref&gt;&lt;/ref&gt;	
The Player 2: Master of Swindlers	South Korean								The Player 2: Master of Swindlers 0 76699742 1227131617 1220509185 2024-06-03T22:17:16Z D.18th 45062989 removed Category:Upcoming South Korean television series using HotCat 1227131617 wikitext text/x-wiki #REDIRECT Player (TV series) Category:2024 South Korean television series debuts Category:TvN (South Korean TV channel) television dramas 70vqe31b2km110qtmxo2grwjrtto0cg		
Dreaming of a Freaking Fairy Tale	South Korean	2024	Naver, Romantic comedy	TVING	Kim Min Kyung	Pl Gong Hyo Soon, Ltref Name, Quotcredits, Quot, Gt Park Sung Eun, Gt	10				
Meant to Be	South Korean	2023	Family, Melodrama, Revenge tragedy, Romance film	MBC TV	Kim Jin Hyung, Ltref Name, Quotproduction, Quot, Gt	Baek Ho Min Kim Seo Gon	120				
Category:Thai medical television series	Thai								Category:Thai medical television series 14 76781172 1252891144 1239065032 2024-10-23T11:30:15Z Paul 012 740137 Undid revision 1239065032 by วรุฒ หิ่มสาใจ (talk) 1252891144 wikitext text/x-wiki Category:Medical television series by country Medical 71subam18n0oujo6n6q680vtxtsral3		
Pamilya Sagrado	Philippine	2024	Family drama, Political thriller	A2Z, Jeepney TV, Kapamilya Channel, Kapamilya Online Live, TV5, The Filipino Channel, iWantTFC	Andoy Ranay Andoy L Ranay, Coco Martin	Catherine Magdael Abarrondo Eleanor Martinez Carlina Dela Merced	110		(, /International title: Sagrado) is a Philippine television drama thriller series broadcast by Kapamilya Channel. Directed by Lawrence Fajardo, Andoy L. Ranay and Rico Navarro, it stars Piolo Pascual, Kyle Echarri, and Grae Fernandez. It aired on the network's Primetime Bida line up and worldwide on TFC from June 17 to November 15, 2024. The series is also available for streaming on YouTube.	The pilot episode of the series garnered 443,269 peak live concurrent viewers on YouTube, livestreamed through ABS-CBN's Kapamilya Online Live.&lt;ref&gt;&lt;/ref&gt; According to AGB Nielsen Philippines, the pilot episode received 7.2% nationwide ratings.&lt;ref&gt;&lt;/ref&gt; The series registered its first victory against its timeslot rival on August 26, 2024, with an aggregated nationwide TV ratings of 8.8%.&lt;ref&gt;&lt;/ref&gt;	
Category:Channel 3television dramas	Thai								Category:Channel 3 (Thailand) television dramas 14 76794754 1222680957 1221834083 2024-05-07T09:34:47Z FrederickEvans 45934531 Added category 1222680957 wikitext text/x-wiki This category contains articles about Channel 3 television dramas. Category:Thai drama television series Drama Category:Drama television series by network 88xsqdmyengucgmbb50ngvt3escjg7t		
Category:Channel 7television dramas	Thai								Category:Channel 7 (Thailand) television dramas 14 76794761 1222680966 1221834248 2024-05-07T09:34:56Z FrederickEvans 45934531 Added category 1222680966 wikitext text/x-wiki This category contains articles about Channel 7 television dramas. Category:Thai drama television series Drama Category:Drama television series by network sycw2unvpgxggt63bnnyt1dki6oihgi		
Category:GMM 25 television dramas	Thai								Category:GMM 25 television dramas 14 76795110 1222680981 1221842057 2024-05-07T09:35:05Z FrederickEvans 45934531 Added category 1222680981 wikitext text/x-wiki This category contains articles about GMM 25 television dramas. Category:Thai drama television series Drama Category:Drama television series by network 5nsll0ygdbchqhr7iyuclrm2d8fd5d7		
Category:One 31 television dramas	Thai								Category:One 31 television dramas 14 76795241 1222680995 1221844933 2024-05-07T09:35:15Z FrederickEvans 45934531 Added category 1222680995 wikitext text/x-wiki This category contains articles about One 31 television dramas. Category:Thai drama television series Drama Category:Drama television series by network 03ucqkskbi9e6ns1551qmg0j6rpn00d		
Oh My Boss! Love Not Included	Japanese	2021	Drama, romantic comedy, romantic drama	TBS Television	Kenta Tanaka Yasuharu Ishii Takeyoshi Yamamoto Taichi Imura	Akiko Matsumoto	10		is a Japanese romantic comedy drama that was broadcast on TBS Television from 12 January to 16 March 2021, starred Mone Kamishiraishi. This drama was produced by the production staff of TBS Television (Japan)'s romantic drama An Incurable Case of Love, which was highly rated in the January 2020 season with Mone Kamishiraishi playing a rookie nurse. It has no original story and is an original script by Shigenori Tanabe, who wrote the script for the An Incurable Case of Love spin-off drama.		
Tanabata no Kuni	Japanese			Disney+	Takahide Sano Hayato Kawai Yūsuke Taki	Akihisa Yamamoto Yusuke Wakabayashi Tsuyoshi Nakano Naoya Takahashi	10	Ryōko Fujino, Hiroshi Mikami, Takayuki Yamada, Shuhei Uesugi, Aya Asahina, Kanata Hosoda, Masami Ebihara, Mai Kiryuu, Hoshi Ishida, Satoshi Kanada	Tanabata no Kuni (Japanese: 七夕の国) is a Japanese live-action series based on the manga series of the same name by Hitoshi Iwaaki. The series premiered exclusively on Disney+ in Japan and Hulu in United States on July 4, 2024.		
Category:Philippine television series revived after cancellation	Philippine								Category:Philippine television series revived after cancellation 14 76830227 1222462972 2024-05-06T03:01:56Z FrederickEvans 45934531 New category. 1222462972 wikitext text/x-wiki Category:Philippine television series Category:Television series revived after cancellation 65qwak18fnhhdyam6domfjds8qhrzu6		
Category:Philippine television series based on Japanese television series	Japanese, Philippine								Category:Philippine television series based on Japanese television series 14 76832712 1222495836 2024-05-06T08:14:24Z FrederickEvans 45934531 New category. 1222495836 wikitext text/x-wiki Category:Non-Japanese television series based on Japanese television series Japanese 7u833ao0bipekja6e7hkgci8kiyae2t		
Category:Philippine television spinoffs	Philippine								Category:Philippine television spinoffs 14 76843190 1278002879 1277994073 2025-02-27T23:23:50Z JJMC89 bot III 35936988 Moving :Category:Television spin-offs to :Category:Television spinoffs per Wikipedia:Categories for discussion/Speedy 1278002879 wikitext text/x-wiki Philippines Spin-off 2k6q61rb0ropobk7ay354hts3a126qg		
Category:Chinese animated television series by decade	Chinese								Category:Chinese animated television series by decade 14 76862702 1222943045 2024-05-08T22:12:39Z Ajacraig2011 37481206 ←Created page with '* Bulleted list item animated Decade Chinese' 1222943045 wikitext text/x-wiki * Bulleted list item animated Decade Chinese e3rmzflbq0blzlbuk9tqhvye5ib59xp		
Category:2000s Chinese television series by genre	Chinese								Category:2000s Chinese television series by genre 14 76862712 1222943272 2024-05-08T22:14:39Z Ajacraig2011 37481206 ←Created page with ' Genre Chinese Category:Chinese television series by genre' 1222943272 wikitext text/x-wiki Genre Chinese Category:Chinese television series by genre 5mu7vlopbaqln2n5cqdvy4l9p89t7sc		
Snow White's Revenge	South Korean	2024	Maeil Kyungje, Melodrama, Mystery (genre), Naver, Revenge drama, Romance drama	KBS2	Choi Ji Young, Ltref Name, Quotyang So Young, Quot, Gt	Son Ok Hyeon, Ltref Name, Quotproduction, Quot, Gt Kim Han Seul, Gt Bae Seong Su, Gt	102		Snow White's Revenge () is a 2024 South Korean television series starring Han Chae-young, Han Bo-reum and Choi Woong. It aired on KBS2 from June 17, to November 29, 2024, every Monday to Friday at 19:50 (KST). This marks Han Chae-young's first-ever regular appearance in a daily soap opera since she began acting in 2000; at the age of 43, she also played the mother of an adult actor for the first time.		
My Sweet Mobster	South Korean	2024	Naver, Osen (newspaper), Romantic comedy	JTBC	Kim Young Hwan, Ltref Name, Quotkbsmedia, Quot, Gt Kim Woo Hyun, Gt		16		My Sweet Mobster () is a 2024 South Korean television series based on a Naver web novel of the same title by Bangulmama. Starring Uhm Tae-goo, Han Sun-hwa and Kwon Yul, it aired on JTBC from June 12, to August 1, 2024, every Wednesday and Thursday at 20:50 (KST). The show is available on Viki and Viu in selected regions.		
Miss Night and Day	South Korean	2024	Fantasy, Mystery film, Romantic comedy	JTBC	Lee Hyeong Min, Ltref Name, Quotchosun, Quot, Gt Choi Sun Min, Gt	Cinematography	16		Miss Night and Day () is a 2024 South Korean television series starring Lee Jung-eun, Jung Eun-ji and Choi Jin-hyuk. It aired on JTBC from June 15, to August 4, 2024, every Saturday and Sunday at 22:30 (KST). It is also available for streaming on Netflix in selected regions.	Singapore's national newspaper The Straits Times gave the series three out of five stars, describing the drama as a &quot;delightfully unhinged mash-up of romcom, criminal procedural and supernatural fantasy&quot;, praising the character and plot development and its touch on ageism, creating the empathy of fearing to age.&lt;ref&gt;&lt;/ref&gt; TIME also gave the series a positive review, praising the series for combining the serial killer plotline with the &quot;slice-of-life&quot; and farcical...	
Category:South Korean television spinoffs	South Korean								Category:South Korean television spinoffs 14 76901446 1278002893 1277991659 2025-02-27T23:23:54Z JJMC89 bot III 35936988 Moving :Category:Television spin-offs to :Category:Television spinoffs per Wikipedia:Categories for discussion/Speedy 1278002893 wikitext text/x-wiki South Korea Spin-off pzzyoy9z1owgielah06vbf7tyuy0yvf		
Patient Chart Prayer	Japanese	2022	Mystery fiction		Shunsuke Kariyama Chihiro Ikeda Yuma Suzuki	Mami Fujimori Ryoji Tokura	11		is a Japanese medical mystery novel by Mikito Chinen. It is a series of short stories consisting of five episodes. It was published by Kadokawa corporation on 29 March 2018, followed by a paperback edition by Kadokawa corporation on 25 February 2021. A sequel, Reunion therapy of Patient Chart Prayer was published by Kadokawa corporation on 10 August 2022. The author, Mikito Chinen, is a novelist and a physician. Many of his works have medical themes, and this is one of them. Television dramatisa...		
Universe League	South Korean	2024	Reality competition	SBS TV	Park Jung Sik, Ltref Name, Quotcredits, Quot, Gtcite Episode Datenovember, Titleepisode Urlhttps, Programs Sbs Co Kr, Enter, Universeleague, Vod, Locationsouth Korea Seriesuniverse League Season Number Languageko Access Datejanuary, Lt, Ref, Gt	Cinematography	10		Universe League () is a 2024–2025 South Korean reality competition show created by SBS. The show followed the process of creating a new boy group. It premiered on SBS TV on November 22, 2024, and aired every Friday at 23:20 (KST). In the finale on January 24, 2025, which was broadcast live, the show announced the final nine (instead of eight) members who would debut as AHOF (abbreviation for All-time Hall Of Famer) and will be managed by F&F Entertainment. The show served as a sequel to Universe...		
The Auditors	South Korean	2024	Action drama, Sports Seoul	tvN	Kwon Young Il, Ltref Name, Quotshin Young Eun, Quot, Gt Joo Sang Gyu, Gt		12		The Auditors () is a 2024 South Korean television series written by Choi Min-ho, co-directed by Kwon Young-il and Joo Sang-gyu, and starring Shin Ha-kyun, Lee Jung-ha, Jin Goo and Jo Aram. It aired on tvN from July 6, to August 11, 2024, every Saturday and Sunday at 21:20 (KST). It streamed on Viki.		
High School Return of a Gangster	South Korean	2024	Action drama, Fantasy television, Revenge drama, Teen drama	TVING	Lee Seong Taek, Ltref Name, Quotproduction, Quot, Gt	Kim Mi Na, Ltref Name, Quotcredits, Quot, Gt	8		High School Return of a Gangster () is a 2024 South Korean fantasy teen action television series starring Yoon Chan-young, Bong Jae-hyun and Lee Seo-jin. Based on the manhwa of the same Korean title by Horol. It was aired on Lifetime from May 29 to June 19, 2024, every Wednesday at 14:00 (KST). It is also available for streaming on TVING, Wavve and Watcha in South Korea, and on Viu in selected regions. The first two episodes premiered at CGV Theater and were released on February 22, 2024. High S...		
Your Honor	South Korean	2024	Crime drama, Legal thriller	ENA, Genie TV	Yoo Jong Seon	Cinematography	10		Your Honor () is a 2024 South Korean crime drama legal thriller television series adapted from the Israeli television series . The series is created by , written by Kim Jae-hwan, directed by Yoon Jong-seon, and starring Son Hyun-joo, Kim Myung-min, Kim Do-hoon, and Heo Nam-jun. It aired on ENA from August 12, to September 10, 2024, every Monday and Tuesday at 22:00 (KST), and subsequently streaming on Genie TV. It is also available for streaming Viki in selected regions.		
List of BL dramas	Japanese								List of BL dramas 0 77010049 1319934285 1318410210 2025-11-01T20:29:57Z Jonesey95 9755426 Fix Linter errors. 1319934285 wikitext text/x-wiki Boys' love dramas, commonly known as BL, are Asian dramatic television series, miniseries, or web series featuring romantic relationship between male leads. The list is divided by countries and year of release.		
TV Animal Farm	South Korean	2001							TV Animal Farm () is a South Korean television program by network SBS that has aired since May 6, 2001. It airs on Sunday mornings at 9:30 AM, and focuses on topics relating to animals. Episodes often focus on animals and their relationship with humans. Efforts are made to not only show cute animals, but to also educate and increase sympathy towards animals. Other topics include pet adoption and veterinary care. The show has four main panelists who comment on the topics featured in the show; the...		
Project 7	South Korean	2024	Reality competition	JTBC	Ma Gun Young Chae Sung Wook	Runtime	12		Project 7 () is a 2024 South Korean boy group reality competition survival show created by JTBC. It followed the process of creating a new global boy group. It premiered on JTBC on October 18, 2024, and aired every Friday at 20:50 (KST). The show ended on December 27, 2024, with the formation of a seven-member boy group named Close Your Eyes.		
Jurassic War	South Korean	2002	Adventure, Comedy, Fantasy	Munhwa Broadcasting Corporation	Regis Ghezelbash	Park Sang Jun	26		Jurassic War, also known as Wars of the Jurassic Period () is a 2002 French-South Korean animated television series based on the 2001 Microsoft Windows game Jurassic War 2, developed by CDV Software and published by WizardSoft. The series was sponsored by RG Prince France and animated by Raon Pictures, and directed by Lee Ki-young and Regis Ghezelbash. It ran for 26 episodes, broadcasting on Munhwa Broadcasting Corporation every Wednesday at 4:30 pm from September 11, 2002 to December 4, 2002 an...		
Template:TvNcurrent original programming	South Korean								Template:TvN (South Korean TV channel) current original programming 10 77031125 1319335969 1314242912 2025-10-29T04:56:59Z Hotwiki 584824 Updated Wikilink 1319335969 wikitext text/x-wiki {{Navbox | name = TvN (South Korean TV channel) current original programming | title = tvN current original programming | state = {} | bodyclass = hlist | group1 = Drama | list1 = * Typhoon Family (since 2025) | group2 = Variety | list2 = * The Backpacker Chef (since 2022) * Comedy Big League (since 2011) * DoRe...		
2020 May's Love	Japanese	2020	Drama	Wowow	Daishi Matsunaga	Makiko Okano			2020 May's Love () is a Japanese drama produced by WOWOW. It was broadcast for free on WOWOW's official YouTube channel and WOWOW Members On Demand from May 28 to May 31, 2020, at 21:00. It was also broadcast on WOWOW Prime from June 2 to June 5, 2020, at 23:45 to 00:00. The short drama consists of 4 episodes and was produced remotely, depicting the interaction between a divorced couple who mistakenly contact each other during the COVID-19 pandemic. The screenplay was written by Yoshikazu Okada ...		
No Way Out: The Roulette	South Korean	2024	Mystery fiction, Thriller (genre)	U+ Mobile TV	Choi Kook Hee, U Mobile Tv	Kim Min Joon, Ltref Name, Quotcredits, Quot, Gt	8		No Way Out: The Roulette () is a 2024 South Korean mystery thriller television series written by Lee Soo-jin, co-directed by Choi Kook-hee and Lee Hoo-bin, and starring Cho Jin-woong, Yoo Jae-myung, Kim Mu-yeol, Yum Jung-ah, Sung Yoo-bin, Greg Hsu, Lee Kwang-soo, and Kim Sung-cheol. The series is about an open murder contract with a bounty of 20 billion won on the life of a rare heinous criminal and the fierce battle between those who want to kill and those who want to survive. It was released o...		
Category:Television series by GMA Entertainment Group	Philippine								Category:Television series by GMA Entertainment Group 14 77052925 1241664343 1240453042 2024-08-22T13:30:10Z FrederickEvans 45934531 Change category 1241664343 wikitext text/x-wiki This category is for television series produced by GMA Entertainment Group, a division of GMA Network Inc. Category:GMA Entertainment Group GMA Entertainment Group iib4r3u599z628m0zh6dkd66w9fsru4		
Changing Majors	South Korean	2022	Variety show	YouTube	Lee Chang Sub, Kai Kai	Cinematography	101	Lee Chang Sub, Kai	Changing Majors () is a South Korean variety web series featuring various universities, colleges and schools, and the courses offered inside. Each episode of the series would be released at 18:00 (KST) on Thursdays through ootb Studio's YouTube channel. The series starred Lee Chang-sub of BtoB for the first five seasons, and Kai of Exo beginning season 6.		
Black Out	South Korean	2024	Crime drama, Mystery fiction, Thriller (genre)	MBC TV	Byun Young Joo	Kim Dong Rae, Ltref Name, Quotcredits, Quot, Gt	14		Black Out () is a 2024 South Korean television series written by Seo Joo-yeon, directed by Byun Young-joo, and starring Byun Yo-han, Ko Jun, Go Bo-gyeol, and Kim Bo-ra. Based on the German novel by Nele Neuhaus, it depicts a series of incidents that occur in a closed-off village and the ugly nature of the hidden inner self of humans. It aired on MBC TV from August 16, to October 4, 2024, every Friday and Saturday at 21:50 (KST). It is also available for streaming on local OTT platforms, Wavve an...		
The Boyfriend	Japanese	2024	Dating show, Reality television	Netflix	Presenter		10		thumb|Hojo beach at Tateyama is a Japanese reality dating show. It was the nation's first same-sex dating program. It premiered on July 9, 2024, on Netflix. In December 2024, Netflix announced that the show had been renewed for a second season, with a new cast of queer men and all of the commentators returning.		
Category:2010s Chinese television series by genre	Chinese								Category:2010s Chinese television series by genre 14 77112304 1228006888 2024-06-09T00:05:17Z Ajacraig2011 37481206 ←Created page with ' Genre Chinese Category:Chinese television series by genre' 1228006888 wikitext text/x-wiki Genre Chinese Category:Chinese television series by genre 0f1ahgg8mqight25zctcyp5ke706z9c		
Category:2020s Chinese television series by genre	Chinese								Category:2020s Chinese television series by genre 14 77112352 1228008102 2024-06-09T00:13:53Z Ajacraig2011 37481206 ←Created page with ' Genre Chinese Category:Chinese television series by genre' 1228008102 wikitext text/x-wiki Genre Chinese Category:Chinese television series by genre f7ub0yfmzh54ykt2wvk620sr0s9etu8		
Category:Philippine legal drama television series	Philippine								Category:Philippine legal drama television series 14 77121440 1228224259 2024-06-10T02:51:09Z Renamed user 864c737a9ba5264134504237052363d9 41359422 creating cat 1228224259 wikitext text/x-wiki Philippine legal Category:Philippine legal television series sebz0i598iqoqs2bgj2frmvus28wj1s		
Lavender Fields	Philippine	2024	Action drama, Soap opera	A2Z, Jeepney TV, Kapamilya Channel, Kapamilya Online Live, Netflix, TV5, The Filipino Channel, iWantTFC	Emmanuel Q Palo, Jojo A Saguin	Hazel Bolisay Parfan	100		Lavender Fields is a Philippine action drama television series produced by Dreamscape Entertainment. Directed by Emmanuel Q. Palo and Jojo A. Saguin, it stars Jodi Sta. Maria in the title role, together with Janine Gutierrez and Jericho Rosales. The series aired on Kapamilya Channel's Primetime Bida evening block from September 2, 2024 to January 17, 2025, with a total of 2 seasons and 100 episodes.		
Category:Philippine crime drama television series	Philippine								Category:Philippine crime drama television series 14 77122983 1228271646 2024-06-10T09:45:41Z Renamed user 864c737a9ba5264134504237052363d9 41359422 creating cat 1228271646 wikitext text/x-wiki Drama Crime Category:Crime drama television series mgy2evasktmm50r2etzoo10lf6enzhj		
Black Forceps	Japanese								Black Forceps 0 77135206 1315866215 1249952744 2025-10-09T03:27:31Z 193.116.195.175 Amended spelling or fervent, and edited the phrase describing the Saeki Method to read better. 1315866215 wikitext text/x-wiki Black Forceps (Japanese: ), also known as "Black Pean" or "Black Paean", is a Japanese drama based on the book "Black Pean 1988" by author . It aired in April 2018 on TBS Television (Japan). A sequel, based on the books "Blaze Mes 1990" and "Cerisier Center 1991" by the same author, is sc...		
Dragons of Wonderhatch	Japanese	2023	Fantasy	Disney+	Kentaro Hagiwara		8		Dragons of Wonderhatch is a Japanese live-action/animated series.		
To the Wonder	Chinese	2024	Family, Love		Teng Congcong		8		To the Wonder () is a 2024 Chinese drama series, adapted from the chapter on pastoral marriage in contemporary Chinese writer Li Juan's essay collection My Altay (). Directed by Teng Congcong, who also wrote the screenplay with Peng Yining, the series stars Ma Yili, Zhou Yiran, and Yu Shi, with Jiang Qiming and Yan Peilun in special roles, and Huang Xiaojuan, Alimjan Tursenbek, Alima, and Hailati Hamu in major roles. The series was selected for the Best Long Drama Competition at the 7th Cannes S...		
Best Choice Ever	Chinese	2024	Business, Family, Romance comedy, Urban culture		Tian Yu	Shanghai, Anhui	37		Best Choice Ever () is a 2024 Chinese urban television series directed by Tian Yu and produced by Huace Media and Tencent Penguin Pictures. It stars Yang Zi as Mai Chenghuan and Xu Kai as Yao Zhiming in the lead roles. The series is based on the novel "Story of Joy" by Yi Shu and tells the story of a young woman who is looking for a balance between herself and her family relationships as she grows up. The series premiered on CCTV-8 and Tencent Video on 9 April and ended it's run on 27 April.	The series won the Most Anticipated Work award at the 2023 Tencent Video Starlight Awards.&lt;ref&gt;&lt;/ref&gt; The series premiered on CCTV-8 on April 9, 2024, and was simultaneously broadcast on Tencent Video.&lt;ref&gt;&lt;/ref&gt; The first episode of the drama had a real-time audience rating of over 2, with a peak of 2.0584%. The popularity of the series on Tencent Video has exceeded 30,519, setting a new record for the highest popularity of urban dramas on the site.	
HAHAHAHAHA	Chinese		Tourism variety show	Dragon TV		Cheyunyunlixiaochenluozhou			Hahahahaha (Chinese: 哈哈哈哈哈, also known as 5哈) is a road-style outdoor reality show that began production by iQiyi and Tencent Video in 2020, and is jointly produced by Blue Sky Media, Orange Image, and Hexin Media. It is also the first outdoor reality show variety show launched by the dual platforms of iQiyi and Tencent Video using the "joint production, joint production, joint solo broadcast, and rotating investment promotion" model.		
Wil To Win	Philippine	2024	Variety show, game show	TV5	Arnel Natividad Ferdinand, Quotyuki, Quot Cruz	Sienna G Olasco Peter Edward G Dizon Carmencita Villavert	134		Wil To Win is a Philippine television variety game show broadcast by TV5. Hosted by Willie Revillame and Randy Santiago, it aired on the network's Todo Max Primetime Singko line up and worldwide on Kapatid Channel from July 14, 2024 to April 25, 2025, replacing Barangay Singko Panalo and was replaced by the second wave of Frontline Express and the rerun of Sa Ngalan ng Ina.		
Category:Thai soap opera title card images	Thai								Category:Thai soap opera title card images 14 77191474 1253011694 1237937792 2024-10-23T23:07:25Z TAnthony 1808194 Category 1253011694 wikitext text/x-wiki Title card and logo images from Thai television soap operas. __NOGALLERY__ Category:Thai television series title cards Category:Soap opera and telenovela title card images ι qyjhawa2vf6z3w1fmkrrovsjwqdvurs		
Category:Thai soap opera poster images	Thai								Category:Thai soap opera poster images 14 77193838 1250307880 1237939267 2024-10-09T17:11:13Z TAnthony 1808194 Category:Thai drama series posters 1250307880 wikitext text/x-wiki Logo poster images from Thai television soap operas. __NOGALLERY__ Category:Thai drama series posters Category:Soap opera and telenovela posters ι 4e47xdyj4u59bbd05em56wz14o0ni6l		
Extremely Inappropriate!	Japanese	2024	Comedy (drama), Drama (film and television), Musical film		Creativedirector		10	Sadawo Abe, Riisa Naka, Hayato Isomura, Yuumi Kawai, Yō Yoshida, Arata Furuta, Ryo Nishikido, Yoshihiko Hakamada, Ayumu Nakajima, Koji Yamamoto, Masaki Okada, Norito Yashima, Yu Ki Matsumura, Kyoko Koizumi, Hikomaro, Otone Maeda, Manato Sakamoto, Baku Numata, Hiroki Miyake, Richi Nakata	is a 2024 Japanese comedy musical drama television series about a man who time travels back-and-forth between 1986 (Showa era) and 2024 (Reiwa era), where he finds that his Shōwa-era way of being conflicts with contemporary Japanese society.		
Category:Television series by Higround	South Korean								Category:Television series by Higround 14 77210070 1268356768 1230546018 2025-01-09T10:20:24Z RafaelPPascual 9044085 1268356768 wikitext text/x-wiki HIGROUND 352i8k6na2madm04861wu1y5cd4t7o9		
LOL: Last One Laughing Philippines	Philippine	2024	Comedy, Reality competition	Amazon Prime Video	Jay Klio Bermudez	Madonna Tarrayo Randolph Longjas Noemi Peji Katrina Holigores	6		LOL: Last One Laughing Philippines is a Philippine comedy reality competition show based on Documental, a format created by Japanese comedian Hitoshi Matsumoto. Hosted by comedian, presenter, and actor Vice Ganda, it aired on Prime Video on July 4, 2024. Chad Kinis was proclaimed the winner of the first season on July 18, 2024.	Following its premiere on July 4, 2024, LOL: Last One Laughing Philippines became Prime Video's number one reality competition show and trended across various social media networks. The series also gained popularity online after funny clips from the show were shared on Facebook.&lt;ref&gt;&lt;/ref&gt;	
See Her Again	Chinese	2024	Crime, Mystery, Time-travel		Wong Kwok Keung		18		See Her Again () is a Hong Kong television series starring William Chan and Cya Liu. It is the only Asian show selected to compete for the Coup de Coeur Award at MIPTV's MIPDrama Screenings in April 2024. It is also the first Chinese drama to be broadcast simultaneously on Tencent and Netflix.		
